                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                 0.6471,                0.51789,                 0.5945,                 0.4409,                 1.0961,                 1.1488,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.65546,                0.55243,                0.62087,                0.46107,                 1.0833,                  1.098,                 1.1275,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.65781,                0.58098,                0.63766,                0.47413,                 1.0675,                 1.0691,                 1.1165,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2954,                 1.2363,                0.67724,                0.60728,                0.66944,                 0.4967,                 1.0538,                 1.0419,                 1.1066,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2145,                 1.3291,                 1.2289,                0.68232,                0.62444,                0.69181,                0.51391,                 1.0396,                 1.0151,                 1.0954,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1217,                 1.1597,                 1.1959,                0.70086,                0.62816,                0.70506,                0.52597,                 1.0255,                0.99525,                 1.0834,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1209,                 1.1753,                 1.1982,                 0.7073,                  0.646,                0.71789,                0.53544,                 1.0162,                0.97696,                 1.0786,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0799,                 1.1254,                 1.1629,                0.73942,                 0.6671,                 0.7264,                0.54328,                 1.0123,                0.94895,                 1.0756,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0789,                 1.0915,                 1.1605,                0.73001,                0.68259,                0.73557,                0.55056,                 1.0072,                0.92042,                 1.0722,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0751,                 1.1189,                 1.1761,                0.71854,                0.69461,                0.74233,                0.55278,                 1.0017,                0.89906,                 1.0679,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1096,                 1.0965,                 1.1665,                0.72218,                0.69257,                0.74934,                0.56367,                0.99058,                0.86877,                 1.0604,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0186,                 1.0366,                 1.1389,                0.75764,                0.68078,                0.75848,                0.57406,                0.97577,                0.84665,                 1.0515,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0784,                 1.0358,                 1.1813,                 0.7984,                0.67814,                0.76464,                0.58391,                0.96492,                0.83096,                 1.0469,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0773,                 1.0655,                 1.1505,                0.81124,                0.67982,                0.77593,                0.59207,                 0.9649,                0.81906,                 1.0439,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0871,                 1.0477,                 1.1488,                0.81137,                0.68617,                0.78193,                0.59789,                0.96678,                0.80929,                 1.0417,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0495,                 1.0112,                 1.1411,                0.80786,                0.71868,                0.78959,                0.60553,                 0.9589,                0.79393,                 1.0375,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0293,                 1.0336,                 1.1372,                0.82102,                0.72094,                0.79911,                 0.6167,                0.94405,                0.77918,                 1.0337,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0504,                0.97834,                 1.1372,                0.83767,                0.72823,                0.81856,                0.62976,                0.93276,                 0.7606,                 1.0281,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98893,                0.95831,                 1.1338,                0.82806,                0.72856,                0.82305,                0.63421,                0.92133,                0.74446,                 1.0221,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.97592,                 0.9152,                 1.1084,                 0.8171,                0.74046,                 0.8291,                0.63799,                0.90896,                0.73194,                  1.015,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0107,                0.93252,                 1.1226,                 0.8649,                 0.7128,                0.83169,                0.64049,                0.90206,                0.72111,                 1.0088,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0223,                0.91291,                 1.1311,                0.88102,                0.70297,                0.83094,                0.63873,                 0.8994,                0.70971,                 1.0068,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 0.9988,                0.91919,                 1.0975,                0.72585,                0.79824,                0.82994,                0.64427,                0.89531,                0.70514,                 1.0044,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 0.9542,                0.90561,                 1.0964,                0.74101,                0.78714,                0.82927,                0.64302,                0.89097,                0.70143,                 1.0025,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96976,                0.89124,                 1.0987,                0.81332,                0.74991,                0.83396,                0.64692,                0.88811,                0.69681,                 1.0008,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 0.9775,                0.93358,                 1.1135,                0.79678,                0.76998,                0.83632,                0.64451,                0.88199,                0.68918,                0.99896,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.98019,                0.89455,                 1.1156,                0.81857,                 0.7679,                 0.8379,                0.64956,                0.87093,                0.68158,                0.99451,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.98303,                0.86233,                 1.1046,                0.83298,                0.75886,                0.84046,                0.65233,                0.86338,                0.67088,                0.99059,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.96883,                0.85874,                 1.0939,                0.85731,                0.75302,                 0.8425,                0.65822,                0.85688,                0.66191,                0.98772,             8.7191e-05,             8.7191e-05,             8.7191e-05
